Empresa;Ramo de atividade;Faturamento anual;Orçamento anual de TI;Investimento em Automação;Investimento em APIs;Investimento em BI;Investimento em Blockchain;Investimento em Cloud;Investimento em Cibersegurança;Investimento em Inteligência Artificial;Investimento em Metaverso;Investimento em ESG;Maiores desafios da área de TI;Maiores fatores de risco para atingir os desafios;Posição da área de TI em projetos de inovação
143;Siderurgia, Metalurgia ou Mineração;Até R$ 2 bilhões;Até R$ 10 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Atualização do legado para novas soluções/plataformas;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Resistência interna a mudanças;Falta de cultura em inovação;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
144;Utilities;Até R$ 5 bilhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Outro";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
145;Indústria automotiva, autopeças e mecânica;Acima de 15 bilhões;Até R$ 50 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
146;Saúde (hospitais, clínicas, diagnósticos);Até R$ 4 bilhões;Até R$ 200 milhões;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
147;Transporte e Logística;Até R$ 3 bilhões;Até R$ 30 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Atualização do legado para novas soluções/plataformas;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
148;Indústria Farmacêutica;Até R$ 6 bilhões;Até R$ 300 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
149;Indústria automotiva, autopeças e mecânica;Até R$ 2 bilhões;Até R$ 20 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Atualização / substituição de solução de ERP e/ou CRM";"Orçamento insuficiente;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
150;Indústria automotiva, autopeças e mecânica;Não informa;Até R$ 30 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
151;Serviços Financeiros;Até R$ 1 bilhão;Até R$ 100 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Processos lentos e inflexíveis;Falta de patrocínio da alta Direção da empresa;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
152;Comércio (atacado ou varejo);Até R$ 4 bilhões;Até R$ 100 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação / retenção de profissionais qualificados;Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
153;Seguradoras;Até R$ 900 milhões;Até R$ 80 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
154;Indústria de Alimentos, bebidas e fumos;Até R$ 4 bilhões;Até R$ 50 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Posicionar a TI como uma área estratégica do negócio;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
155;Indústria de Alimentos, bebidas e fumos;Não informa;Até R$ 20 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Adequação aos processos & políticas de Governança / Compliance";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
156;Setor Público;Até R$ 2 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Contratação / retenção de profissionais qualificados;Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
157;Utilities;Acima de 15 bilhões;Até R$ 20 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
158;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Até R$ 8 bilhões;Até R$ 15 milhões;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
159;Comércio (atacado ou varejo);Até R$ 2 bilhões;Até R$ 20 milhões;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
160;Bens de consumo;Até R$ 4 bilhões;Até R$ 80 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Falta de cultura em inovação;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
161;Saúde (hospitais, clínicas, diagnósticos);Até R$ 2 bilhões;Até R$ 100 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI";"Falta de equipe com as habilidades necessárias;Baixo grau de maturidade na governança de TI da empresa;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
162;Educação;Até R$ 1 bilhão;Até R$ 30 milhões;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Processos lentos e inflexíveis;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
163;Comércio (atacado ou varejo);Até R$ 2 bilhões;Até R$ 30 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Resistência interna a mudanças;Processos lentos e inflexíveis;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
164;Serviços Financeiros;Até R$ 2 bilhões;Até R$ 100 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Processos lentos e inflexíveis;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
165;Transporte e Logística;Até R$ 7 bilhões;Até R$ 200 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
166;Setor Público;Não informa;Até R$ 50 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Processos lentos e inflexíveis;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
167;Indústria automotiva, autopeças e mecânica;Até R$ 900 milhões;Até R$ 30 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
168;Serviços Financeiros;Até R$ 300 milhões;Até R$ 30 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Gerenciar nosso ambiente multicloud;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
